Name	Label	Question	Type	Var
I1R6C1	Servicios o bienes significativamente mejorados en el mercado nacional (Ya existían en el mercado internacional).	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R6C2	Servicios o bienes significativamente mejorados en el mercado nacional (Ya existían en el mercado internacional). Número total de Innovaciones en servicios o bienes significativamente mejorados en el mercado nacional 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R7C1	Servicios o bienes significativamente mejorados en el mercado internacional	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R7C2	Servicios o bienes significativamente mejorados en el mercado internacional Número total de Innovaciones en servicios o bienes significativamente mejorados en el mercado internacional en 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R8C2	Número total de innovaciones de servicios o bienes significativamente mejorados 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R9C1	Introdujo nuevos o significativamente mejorados métodos de producción, distribución, entrega, o sistemas logísticos en su empresa. Sí, No	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R9C2	Introdujo nuevos o significativamente mejorados métodos de producción, distribución, entrega, o sistemas logísticos en su empresa. Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R10C1	Introdujo nuevos métodos organizativos implementados en el funcionamiento interno de la empresa, en el sistema de gestión del conocimiento, en la organización del lugar de trabajo, o en la gestión de las relaciones externas de la empresa.	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R10C2	Introdujo nuevos métodos organizativos implementados en el funcionamiento interno de la empresa, en el sistema de gestión del conocimiento, en la organización del lugar de trabajo, o en la gestión de las relaciones externas de la empresa. Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.	d	num
I1R11C1	Introdujo nuevas técnicas de comercialización en su empresa (canales para promoción y venta, o modificaciones significativas en el empaque o diseño del producto), implementadas en la empresa con el objetivo de ampliar o mantener su mercado. (Se excluyen los cambios que afectan las funcionalidades del producto)	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	sino
I1R11C2	Introdujo nuevas técnicas de comercialización en su empresa (canales para promoción y venta, o modificaciones significativas en el empaque o diseño del producto), implementadas en la empresa con el objetivo de ampliar o mantener su mercado. (Se excluyen los cambios que afectan las funcionalidades del producto) Número total de Innovaciones en servicios o bienes nuevos únicamente para su empresa 2010 - 2011	Indique si durante el período 2010 - 2011 su empresa introdujo alguna de las siguientes innovaciones. Si su respuesta es afirmativa especifique el número.  SI=1 NO=2	i	num
I2R1C1	Mejora en la calidad de los bienes o servicios	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R2C1	Ampliación en la gama de servicios o bienes	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R3C1	Ha mantenido su participación en el mercado geográfico de su empresa	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R4C1	Ha ingresado a un mercado geográfico nuevo	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R5C1	Aumento de la productividad	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R6C1	Reducción de los costos laborales	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R7C1	Reducción en el consumo de energía	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R8C1	Reducción en el consumo de agua	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R9C1	Reducción en el uso de otros insumos (incluye materias primas)	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R10C1	Mejora en el cumplimiento de regulaciones, normas y reglamentos técnicos. Incluye cumplimiento de normas de reducción de vertimientos o emisiones tóxicas y de mejora de las condiciones de seguridad industrial	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I2R11C1	Aprovechamiento de residuos del proceso productivo	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2010 - 2011, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i	amn
I3R1C1	Valor de ventas nacionales	Indique el valor correspondiente a las ventas nacionales y las exportaciones efectuadas por su empresa en el año 2011. (En miles de pesos corrientes)	d	mon
I3R1C2	Valor de Exportaciones totales	Indique el valor correspondiente a las ventas nacionales y las exportaciones efectuadas por su empresa en el año 2011. (En miles de pesos corrientes)	d	mon
I4R1C1	Servicios o bienes nuevos o mejorados significativamente para a la empresa (Ya existían en el mercado nacional y/o en el internacional) Porcentaje de las ventas Nacionales	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R1C2	Servicios o bienes nuevos o mejorados significativamente para a la empresa (Ya existían en el mercado nacional y/o en el internacional) Porcentaje de las ventas Exportaciones	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R2C1	Servicios o bienes nuevos o mejorados significativamente en el mercado nacional (Ya existían en el mercado internacional) Porcentaje de las ventas Nacionales	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R2C2	Servicios o bienes nuevos o mejorados significativamente en el mercado nacional (Ya existían en el mercado internacional) Porcentaje de las ventas Exportaciones	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R3C1	Servicios o bienes nuevos o mejorados significativamente en el mercado internacional Porcentaje de las ventas Nacionales	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R3C2	Servicios o bienes nuevos o mejorados significativamente en el mercado internacional Porcentaje de las ventas Exportaciones	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R4C1	Servicios o bienes que se mantuvieron sin cambios o cuyos cambios no fueron significativos (productos no innovadores) Porcentaje de las ventas Nacionales	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R4C2	Servicios o bienes que se mantuvieron sin cambios o cuyos cambios no fueron significativos (productos no innovadores) Porcentaje de las ventas Exportaciones	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R5C1	Total % Ventas Nacionales	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I4R5C2	Total % Ventas Exportaciones	Distribuya el valor de las ventas nacionales y de las exportaciones, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%	d	por
I5R1C1	Al finalizar 2011, ¿tenía su empresa algún proyecto en marcha (no finalizado) para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas?	Al finalizar 2011, ¿tenía su empresa algún proyecto en marcha (no finalizado) para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas?  SI=1 NO=2	i	sino
I6R1C1	Durante el período 2010 - 2011, ¿emprendió su empresa algun proyecto para la obtención de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas, pero fue abandonado?	Durante el período 2010 - 2011, ¿emprendió su empresa algun proyecto para la obtención de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas, pero fue abandonado? SI=1 NO=2	i	sino
I7R1C1	Escasez de recursos propios	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R2C1	Falta de personal calificado	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R3C1	Dificultad para el cumplimiento de regulaciones y reglamentos técnicos	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R4C1	Escasa información sobre mercados	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R5C1	Escasa información sobre tecnología disponible	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R6C1	Escasa información sobre instrumentos públicos de apoyo	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R7C1	Débil capacidad de gestión de la innovación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R8C1	Incertidumbre frente a la demanda de servicios y bienes innovadores	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R9C1	Incertidumbre frente al éxito en la ejecución técnica del proyecto	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R10C1	Baja rentabilidad de la innovación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R11C1	Dificultades para acceder a financiamiento externo a la empresa	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R12C1	Escasas posibilidades de cooperación con otras empresas o instituciones	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R13C1	Facilidad de imitación por terceros	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R14C1	Insuficiente capacidad del sistema de propiedad intelectual para proteger la innovación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
I7R15C1	Baja oferta de servicios de inspección, pruebas, calibración, certificación y verificación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i	amn
II1R1C1	Actividades de I+D Internas Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R1C2	Actividades de I+D Internas Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R2C1	Adquisición de I+D (externa) Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R2C2	Adquisición de I+D (externa) Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R3C1	Adquisición de maquinaria y equipo Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R3C2	Adquisición de maquinaria y equipo Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R4C1	Tecnologías de información y telecomunicaciones Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R4C2	Tecnologías de información y telecomunicaciones Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R5C1	Mercadeo de innovaciones Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R5C2	Mercadeo de innovaciones Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R6C1	Transferencia de tecnología Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R6C2	Transferencia de tecnología Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R7C1	Asistencia Técnica y Consultoría Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R7C2	Asistencia Técnica y Consultoría Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R8C1	Ingeniería y diseño industrial Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R8C2	Ingeniería y diseño industrial Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R9C1	Formación y capacitación especializada Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R9C2	Formación y capacitación especializada Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R10C1	TOTAL MONTO INVERTIDO Monto Invertido 2010	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II1R10C2	TOTAL MONTO INVERTIDO Monto Invertido 2011	Indique el valor invertido por su empresa en los años 2010 y 2011, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d	mon
II2R1C1	¿Su empresa realizó actividades relacionadas con biotecnología durante el período 2010-2011? Sí, No	¿Su empresa realizó actividades relacionadas con biotecnología durante el período 2010-2011?  SI=1  NO=2	i	sino
II3R1C1	Total monto invertido Monto Invertido 2010	Indique el monto correspondiente a actividades relacionadas con Biotecnología, realizadas por su empresa en los años 2010 y 2011.	d	mon
II3R1C2	Total monto invertido Monto Invertido 2011	Indique el monto correspondiente a actividades relacionadas con Biotecnología, realizadas por su empresa en los años 2010 y 2011.	d	mon
III1R1C1	Recursos Propios de la Empresa Monto Invertido 2010	Distribuya el total invertido en actividades científicas, tecnológicas y de innovación (total de la inversión del Capítulo II), según la fuente original de los recursos usados para financiar dichas inversiones en los años 2010 y 2011. Debe distinguirse entre el uso de recursos propios de la empresa, recursos de otras empresas del grupo, recursos públicos, recursos de banca privada, recursos de otras empresas ajenas al grupo, fondos de capital privado y recursos de cooperación o donaciones.	d	mon
III1R1C2	Recursos Propios de la Empresa Monto Invertido 2011	Distribuya el total invertido en actividades científicas, tecnológicas y de innovación (total de la inversión del Capítulo II), según la fuente original de los recursos usados para financiar dichas inversiones en los años 2010 y 2011. Debe distinguirse entre el uso de recursos propios de la empresa, recursos de otras empresas del grupo, recursos públicos, recursos de banca privada, recursos de otras empresas ajenas al grupo, fondos de capital privado y recursos de cooperación o donaciones.	d	mon
III1R2C1	Recursos de Otras Empresas del Grupo Monto Invertido 2010	Distribuya el total invertido en actividades científicas, tecnológicas y de innovación (total de la inversión del Capítulo II), según la fuente original de los recursos usados para financiar dichas inversiones en los años 2010 y 2011. Debe distinguirse entre el uso de recursos propios de la empresa, recursos de otras empresas del grupo, recursos públicos, recursos de banca privada, recursos de otras empresas ajenas al grupo, fondos de capital privado y recursos de cooperación o donaciones.	d	mon
