Name	Label	Question	Type
I2R1C1	Mejora en la calidad de los bienes o servicios	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R2C1	Ampliación en la gama de bienes o servicios o bienes	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R3C1	Ha mantenido su participación en el mercado geográfico de su empresa	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R4C1	Ha ingresado a un mercado geográfico nuevo	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R5C1	Aumento de la productividad	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R6C1	Reducción de los costos laborales	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R7C1	Reducción en el uso de materias primas	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R8C1	Reducción en el consumo de energía	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R9C1	Reducción en el consumo de agua	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R10C1	Reducción en costos asociados a comunicaciones	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R11C1	Reducción en costos asociados a transporte	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R12C1	Redución en costos de mantenimiento y reparaciones	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R13C1	Mejora en el cumplimiento de regulaciones, normas y reglamentos técnicos. Incluye cumplimiento de normas de reducción de vertimientos o emisiones tóxicas y de mejora de las condiciones de seguridad industrial	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R14C1	Aprovechamiento de residuos del proceso productivo	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I2R15C1	Disminución en el pago de impuestos	Señale el grado de importancia del impacto, que tuvo sobre los siguientes aspectos de su empresa durante el período 2014 - 2015, la introducción de servicios o bienes significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.  ALTA=1 MEDIA=2 NULA=3	i
I3R1C1	Valor de Ingresos o ventas nacionales totales 2014	Indique el valor correspondiente a los ingresos o ventas operacionales nacionales y las exportaciones efectuadas por su empresa en los años 2014 y 2015. (En miles de pesos corrientes)	d
I3R1C2	Valor de Exportaciones totales 2014	Indique el valor correspondiente a los ingresos o ventas operacionales nacionales y las exportaciones efectuadas por su empresa en los años 2014 y 2015. (En miles de pesos corrientes)	d
I3R2C1	Valor de Ingresos o ventas nacionales totales 2015	Indique el valor correspondiente a los ingresos o ventas operacionales nacionales y las exportaciones efectuadas por su empresa en los años 2014 y 2015. (En miles de pesos corrientes)	d
I3R2C2	Valor de Exportaciones totales 2015	Indique el valor correspondiente a los ingresos o ventas operacionales nacionales y las exportaciones efectuadas por su empresa en los años 2014 y 2015. (En miles de pesos corrientes)	d
I4R1C1	Servicios o bienes nuevos o mejorados significativamente para a la empresa (Ya existían en el mercado nacional y/o en el internacional) Porcentaje de las ventas Nacionales	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R1C2	Servicios o bienes nuevos o mejorados significativamente para a la empresa (Ya existían en el mercado nacional y/o en el internacional) Porcentaje de las ventas Exportaciones	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R2C1	Servicios o bienes nuevos o mejorados significativamente en el mercado nacional (Ya existían en el mercado internacional) Porcentaje de las ventas Nacionales	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R2C2	Servicios o bienes nuevos o mejorados significativamente en el mercado nacional (Ya existían en el mercado internacional) Porcentaje de las ventas Exportaciones	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R3C1	Servicios o bienes nuevos o mejorados significativamente en el mercado internacional Porcentaje de las ventas Nacionales	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R3C2	Servicios o bienes nuevos o mejorados significativamente en el mercado internacional Porcentaje de las ventas Exportaciones	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R4C1	Servicios o bienes que se mantuvieron sin cambios o cuyos cambios no fueron significativos (productos no innovadores) Porcentaje de las ventas Nacionales	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R4C2	Servicios o bienes que se mantuvieron sin cambios o cuyos cambios no fueron significativos (productos no innovadores) Porcentaje de las ventas Exportaciones	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R5C1	Total % Ventas Nacionales	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I4R5C2	Total % Ventas Exportaciones	Distribuya en porcentajes el valor de los ingresos o ventas operacionales nacionales y las exportaciones del año 2015, reportado en el numeral I.3, según la siguiente clasificación. Compruebe que la suma de cada columna es 100%.	d
I5R1C1	Al finalizar 2015, ¿tenía su empresa algún proyecto en marcha, es decir, no finalizado, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas? Sí, No	Al finalizar 2015, ¿tenía su empresa algún proyecto en marcha, es decir, no finalizado, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas?  SI=1 NO=2	i
I6R1C1	Durante el período 2014 - 2015, ¿su empresa abandonó algún proyecto para la introducción de servicios o bienes nuevos o significativamente mejorados, o para la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas, ya sea que lo hubiese iniciado durante este período o en períodos anteriores? Sí, No	Al finalizar 2015, ¿tenía su empresa algún proyecto en marcha, es decir, no finalizado, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas?  SI=1 NO=2	i
I7R1C1	Durante el período 2014 - 2015, ¿tuvo su empresa la intención de realizar algún proyecto para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas? Sí, No	Durante el período 2014 - 2015, ¿tuvo su empresa la intención de realizar algún proyecto para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas? SI=1 NO=2	i
I8R1C1	Entidades del sector público nacional	En el período 2014 - 2015, su empresa obtuvo algún contrato para proveer servicios o bienes a...  SI=1 NO=2	i
I8R2C1	Entidades del sector público extranjero	En el período 2014 - 2015, su empresa obtuvo algún contrato para proveer servicios o bienes a...  SI=1 NO=2	i
I9R1C1	Con entidades del sector público nacional Sí, No	Dentro de los contratos que su empresa realizó con entidades del sector público (pregunta I.8) ¿se estableció el suministro de alguno(s) de los servicios o bienes nuevos o significativamente mejorados que su empresa introdujo durante el período 2014-2015 (pregunta I.1 opciones 1 a 6)... SI=1 NO=2	i
I9R2C1	Con entidades del sector público extranjero	Dentro de los contratos que su empresa realizó con entidades del sector público (pregunta I.8) ¿se estableció el suministro de alguno(s) de los servicios o bienes nuevos o significativamente mejorados que su empresa introdujo durante el período 2014-2015 (pregunta I.1 opciones 1 a 6)... SI=1 NO=2	i
I10R1C1	Escasez de recursos propios	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R2C1	Falta de personal calificado	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R3C1	Dificultad para el cumplimiento de regulaciones y reglamentos técnicos	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R4C1	Escasa información sobre mercados	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R5C1	Escasa información sobre tecnología disponible	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R6C1	Escasa información sobre instrumentos públicos de apoyo	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I7R7C1	Débil capacidad de gestión de la innovación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la obtención de servicios o bienes nuevos o significativamente mejorados, de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el periodo 2010 -2011 ALTA=1 MEDIA=2 NULA=3	i
I10R7C1	Incertidumbre frente a la demanda de servicios y bienes innovadores	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R8C1	Incertidumbre frente al éxito en la ejecución técnica del proyecto	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R9C1	Baja rentabilidad de la innovación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R10C1	Dificultades para acceder a financiamiento externo a la empresa	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R11C1	Escasas posibilidades de cooperación con otras empresas o instituciones	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R12C1	Facilidad de imitación por terceros	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R13C1	Insuficiente capacidad del sistema de propiedad intelectual para proteger la innovación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
I10R14C1	Baja oferta de servicios de inspección, pruebas, calibración, certificación y verificación	Señale el grado de importancia que tuvieron los siguientes obstáculos, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas en su empresa, durante el período 2014 -2015: ALTA=1 MEDIA=2 NULA=3	i
II1R1C1	Actividades de I+D Internas Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R1C2	Actividades de I+D Internas Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R2C1	Adquisición de I+D (externa) Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R2C2	Adquisición de I+D (externa) Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R3C1	Adquisición de maquinaria y equipo Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R3C2	Adquisición de maquinaria y equipo Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R4C1	Tecnologías de información y telecomunicaciones Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R4C2	Tecnologías de información y telecomunicaciones Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R5C1	Mercadotecnia Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R5C2	Mercadotecnia Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R6C1	Transferencia de tecnología Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R6C2	Transferencia de tecnología Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R7C1	Asistencia Técnica y Consultoría Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R7C2	Asistencia Técnica y Consultoría Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R8C1	Ingeniería y diseño industrial Monto Invertido 2014	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
II1R8C2	Ingeniería y diseño industrial Monto Invertido 2015	Indique el valor invertido por su empresa en los años 2014 y 2015, en cada una de las siguientes actividades científicas, tecnológicas y de innovación, para la introducción de servicios o bienes nuevos o significativamente mejorados, y/o la implementación de procesos nuevos o significativamente mejorados, de métodos organizativos nuevos, o de técnicas de comercialización nuevas.	d
